asset_id,source_catalog_id,accepted_scientific_name,category,asset_role,local_path,source_page_url,original_file_url,title,creator,license_id,license_url,attribution_text,modifications,commercial_use_allowed,derivatives_allowed,redistribution_allowed,usage_status,downloaded_at,sha256,reviewed_by,reviewed_at,notes
commons-f001,F001,Eurypharynx pelecanoides,fish,species_portrait,assets/species/eurypharynx-pelecanoides.jpg,https://commons.wikimedia.org/wiki/File:Eurypharynx_pelecanoides.jpg,https://upload.wikimedia.org/wikipedia/commons/d/db/Eurypharynx_pelecanoides.jpg,File:Eurypharynx pelecanoides.jpg,Unknown author,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,Unknown author; Public domain; source: https://commons.wikimedia.org/wiki/File:Eurypharynx_pelecanoides.jpg (attribution optional),Downloaded Commons API thumbnail (max width 384px); no content edits; original file URL retained.,true,true,true,release_approved,2026-08-12,6535c90484035af30b4b899d2ee111c0f3398e4d4ee138340165555197c67347,Codex,2026-08-12,taxon_match_basis=title | api_license_short_name=Public domain | api_mime=image/jpeg | source_page_http=200 | local_derivative_sha256=6535c90484035af30b4b899d2ee111c0f3398e4d4ee138340165555197c67347 | exact target appears in the Commons file title
,F002,Serrivomer beanii,fish,species_portrait,,,,,,,,,,false,false,false,reference_only,,,Codex,2026-08-12,"No exact, unambiguous allowed-license candidate was release-approved in this audit; no local file downloaded."
,F003,Nemichthys scolopaceus,fish,species_portrait,,,,,,,,,,false,false,false,reference_only,,,Codex,2026-08-12,"No exact, unambiguous allowed-license candidate was release-approved in this audit; no local file downloaded."
,F004,Synaphobranchus kaupii,fish,species_portrait,,,,,,,,,,false,false,false,reference_only,,,Codex,2026-08-12,"No exact, unambiguous allowed-license candidate was release-approved in this audit; no local file downloaded."
,F005,Simenchelys parasitica,fish,species_portrait,,,,,,,,,,false,false,false,reference_only,,,Codex,2026-08-12,"No exact, unambiguous allowed-license candidate was release-approved in this audit; no local file downloaded."
,F006,Notacanthus chemnitzii,fish,species_portrait,,,,,,,,,,false,false,false,reference_only,,,Codex,2026-08-12,"No exact, unambiguous allowed-license candidate was release-approved in this audit; no local file downloaded."
commons-f007,F007,Chiasmodon niger,fish,species_portrait,assets/species/chiasmodon-niger.jpg,https://commons.wikimedia.org/wiki/File:Chiasmodon_niger.jpg,https://upload.wikimedia.org/wikipedia/commons/1/1b/Chiasmodon_niger.jpg,File:Chiasmodon niger.jpg,Unknown author,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,Unknown author; Public domain; source: https://commons.wikimedia.org/wiki/File:Chiasmodon_niger.jpg (attribution optional),Downloaded Commons API thumbnail (max width 384px); no content edits; original file URL retained.,true,true,true,release_approved,2026-08-12,c4cbc200f754e9dca19d9329754b53098f6e04dbcf35541e0632888adc1a9ef2,Codex,2026-08-12,taxon_match_basis=title | api_license_short_name=Public domain | api_mime=image/jpeg | source_page_http=200 | local_derivative_sha256=c4cbc200f754e9dca19d9329754b53098f6e04dbcf35541e0632888adc1a9ef2 | exact target appears in the Commons file title
commons-f008,F008,Alepisaurus ferox,fish,species_portrait,assets/species/alepisaurus-ferox.jpg,https://commons.wikimedia.org/wiki/File:Alepisaurus_ferox9180.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c9/Alepisaurus_ferox9180.jpg,File:Alepisaurus ferox9180.jpg,NOAA's Fisheries Collection,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,NOAA's Fisheries Collection; Public domain; source: https://commons.wikimedia.org/wiki/File:Alepisaurus_ferox9180.jpg (attribution optional),Downloaded Commons API thumbnail (max width 384px); no content edits; original file URL retained.,true,true,true,release_approved,2026-08-12,e9721f6d0ea9addf67705b6352dfeb2cb777906ce1db2870c5cefaad8573dea9,Codex,2026-08-12,taxon_match_basis=title | api_license_short_name=Public domain | api_mime=image/jpeg | source_page_http=200 | local_derivative_sha256=e9721f6d0ea9addf67705b6352dfeb2cb777906ce1db2870c5cefaad8573dea9 | exact target appears in the Commons file title
,F009,Omosudis lowii,fish,species_portrait,,,,,,,,,,false,false,false,reference_only,,,Codex,2026-08-12,"No exact, unambiguous allowed-license candidate was release-approved in this audit; no local file downloaded."
commons-f010,F010,Bathysaurus mollis,fish,species_portrait,assets/species/bathysaurus-mollis.jpg,https://commons.wikimedia.org/wiki/File:Bathysaurus_mollis.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3f/Bathysaurus_mollis.jpg,File:Bathysaurus mollis.jpg,NOAA/MBARI,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,NOAA/MBARI; Public domain; source: https://commons.wikimedia.org/wiki/File:Bathysaurus_mollis.jpg (attribution optional),Downloaded Commons API thumbnail (max width 384px); no content edits; original file URL retained.,true,true,true,release_approved,2026-08-12,77f7d96db1fd9f756e55dba9e864c31207a9da9b9f319af65c411d32e98155b8,Codex,2026-08-12,taxon_match_basis=title | api_license_short_name=Public domain | api_mime=image/jpeg | source_page_http=200 | local_derivative_sha256=77f7d96db1fd9f756e55dba9e864c31207a9da9b9f319af65c411d32e98155b8 | exact target appears in the Commons file title
,F011,Evermannella balbo,fish,species_portrait,,,,,,,,,,false,false,false,reference_only,,,Codex,2026-08-12,"No exact, unambiguous allowed-license candidate was release-approved in this audit; no local file downloaded."
,F012,Bathypterois grallator,fish,species_portrait,,,,,,,,,,false,false,false,reference_only,,,Codex,2026-08-12,"No exact, unambiguous allowed-license candidate was release-approved in this audit; no local file downloaded."
,F013,Anoplogaster cornuta,fish,species_portrait,,,,,,,,,,false,false,false,reference_only,,,Codex,2026-08-12,"No exact, unambiguous allowed-license candidate was release-approved in this audit; no local file downloaded."
,F014,Chauliodus sloani,fish,species_portrait,,,,,,,,,,false,false,false,reference_only,,,Codex,2026-08-12,"No exact, unambiguous allowed-license candidate was release-approved in this audit; no local file downloaded."
,F015,Malacosteus niger,fish,species_portrait,,,,,,,,,,false,false,false,reference_only,,,Codex,2026-08-12,"No exact, unambiguous allowed-license candidate was release-approved in this audit; no local file downloaded."
,F016,Idiacanthus atlanticus,fish,species_portrait,,,,,,,,,,false,false,false,reference_only,,,Codex,2026-08-12,"No exact, unambiguous allowed-license candidate was release-approved in this audit; no local file downloaded."
,F017,Borostomias antarcticus,fish,species_portrait,,,,,,,,,,false,false,false,reference_only,,,Codex,2026-08-12,"No exact, unambiguous allowed-license candidate was release-approved in this audit; no local file downloaded."
,F018,Sigmops elongatus,fish,species_portrait,,,,,,,,,,false,false,false,reference_only,,,Codex,2026-08-12,"No exact, unambiguous allowed-license candidate was release-approved in this audit; no local file downloaded."
,F019,Cyclothone microdon,fish,species_portrait,,,,,,,,,,false,false,false,reference_only,,,Codex,2026-08-12,"No exact, unambiguous allowed-license candidate was release-approved in this audit; no local file downloaded."
,F020,Cyclothone pallida,fish,species_portrait,,,,,,,,,,false,false,false,reference_only,,,Codex,2026-08-12,"No exact, unambiguous allowed-license candidate was release-approved in this audit; no local file downloaded."
,I001,Atolla wyvillei,gelatinous_plankton,species_portrait,,,,,,,,,,false,false,false,reference_only,,,Codex,2026-08-12,"No exact, unambiguous allowed-license candidate was release-approved in this audit; no local file downloaded."
,I002,Atolla reynoldsi,gelatinous_plankton,species_portrait,,,,,,,,,,false,false,false,reference_only,,,Codex,2026-08-12,"No exact, unambiguous allowed-license candidate was release-approved in this audit; no local file downloaded."
,I003,Periphylla periphylla,gelatinous_plankton,species_portrait,,,,,,,,,,false,false,false,reference_only,,,Codex,2026-08-12,"No exact, unambiguous allowed-license candidate was release-approved in this audit; no local file downloaded."
,I004,Stygiomedusa gigantea,gelatinous_plankton,species_portrait,,,,,,,,,,false,false,false,reference_only,,,Codex,2026-08-12,"No exact, unambiguous allowed-license candidate was release-approved in this audit; no local file downloaded."
,I005,Tiburonia granrojo,gelatinous_plankton,species_portrait,,,,,,,,,,false,false,false,reference_only,,,Codex,2026-08-12,"No exact, unambiguous allowed-license candidate was release-approved in this audit; no local file downloaded."
,I006,Bathykorus bouilloni,gelatinous_plankton,species_portrait,,,,,,,,,,false,false,false,reference_only,,,Codex,2026-08-12,"No exact, unambiguous allowed-license candidate was release-approved in this audit; no local file downloaded."
,I007,Crossota millsae,gelatinous_plankton,species_portrait,,,,,,,,,,false,false,false,reference_only,,,Codex,2026-08-12,"No exact, unambiguous allowed-license candidate was release-approved in this audit; no local file downloaded."
,I008,Halitrephes maasi,gelatinous_plankton,species_portrait,,,,,,,,,,false,false,false,reference_only,,,Codex,2026-08-12,"No exact, unambiguous allowed-license candidate was release-approved in this audit; no local file downloaded."
,I009,Colobonema sericeum,gelatinous_plankton,species_portrait,,,,,,,,,,false,false,false,reference_only,,,Codex,2026-08-12,"No exact, unambiguous allowed-license candidate was release-approved in this audit; no local file downloaded."
,I010,Bathocyroe fosteri,gelatinous_plankton,species_portrait,,,,,,,,,,false,false,false,reference_only,,,Codex,2026-08-12,"No exact, unambiguous allowed-license candidate was release-approved in this audit; no local file downloaded."
,I011,Lampocteis cruentiventer,gelatinous_plankton,species_portrait,,,,,,,,,,false,false,false,reference_only,,,Codex,2026-08-12,"No exact, unambiguous allowed-license candidate was release-approved in this audit; no local file downloaded."
,I012,Thalassocalyce inconstans,gelatinous_plankton,species_portrait,,,,,,,,,,false,false,false,reference_only,,,Codex,2026-08-12,"No exact, unambiguous allowed-license candidate was release-approved in this audit; no local file downloaded."
,I013,Kiyohimea usagi,gelatinous_plankton,species_portrait,,,,,,,,,,false,false,false,reference_only,,,Codex,2026-08-12,"No exact, unambiguous allowed-license candidate was release-approved in this audit; no local file downloaded."
,I014,Bathyctena chuni,gelatinous_plankton,species_portrait,,,,,,,,,,false,false,false,reference_only,,,Codex,2026-08-12,"No exact, unambiguous allowed-license candidate was release-approved in this audit; no local file downloaded."
,I015,Bathochordaeus charon,gelatinous_plankton,species_portrait,,,,,,,,,,false,false,false,reference_only,,,Codex,2026-08-12,"No exact, unambiguous allowed-license candidate was release-approved in this audit; no local file downloaded."
,I016,Marrus orthocanna,gelatinous_plankton,species_portrait,,,,,,,,,,false,false,false,reference_only,,,Codex,2026-08-12,"No exact, unambiguous allowed-license candidate was release-approved in this audit; no local file downloaded."
