source_catalog_id,slug,accepted_scientific_name,scientific_name_authorship,taxon_authority,taxon_authority_id,taxon_status,synonyms,preferred_ja_name,ja_aliases,preferred_en_name,en_aliases,category,rank,phylum,class,order,family,observed_depth_min_m,observed_depth_max_m,spawn_depth_min_m,spawn_depth_max_m,habitat_tags,ocean_regions,game_rarity,spawn_weight,spawn_conditions,behavior_id,score,asset_id,taxonomy_source_url,depth_source_url,fact_ja,fact_source_url,image_reference_url,last_verified_at,research_status,notes
F001,eurypharynx-pelecanoides,Eurypharynx pelecanoides,"Vaillant, 1882",WoRMS,127165,accepted,[],フクロウナギ,[],Pelican eel,[],fish,Species,Chordata,Teleostei,Anguilliformes,Eurypharyngidae,500,7625,500,6000,"[""deep_sea"",""water_column""]",[],legendary,0.05,"{""depth_min_m"":500,""depth_max_m"":6000,""habitat_tags"":[""deep_sea"",""water_column""],""ocean_regions"":[],""respawn_cooldown_s"":40}",swim,100,,https://www.marinespecies.org/aphia.php?p=taxdetails&id=127165,https://www.fishbase.se/summary/Eurypharynx-pelecanoides.html,観察深度の出典記録は500–7625m。,https://www.fishbase.se/summary/Eurypharynx-pelecanoides.html,https://www.fishbase.se/summary/Eurypharynx-pelecanoides.html,2026-08-12,verified,source_checked_date=2026-08-06 | depth_evidence=FishBase: bathypelagic; reported depth range 500-7625 m. | size_note=Maximum 100 cm TL reported in FishBase. | visual_note=Greatly distensible mouth; extremely attenuated tail ending in luminous organ; scaleless eel-like body. | image_rights=reference-only; rights verification required | spawn_depth_policy=observed-range intersection with 200-6000m | asset_status=reference-only; asset_id intentionally blank | synonyms=not asserted; only exact accepted WoRMS name was adopted | research_taxonomy_url_normalized=https://www.marinespecies.org/aphia.php?p=taxlist&tName=Eurypharynx+pelecanoides -> https://www.marinespecies.org/aphia.php?p=taxdetails&id=127165
F002,serrivomer-beanii,Serrivomer beanii,"Gill & Ryder, 1883",WoRMS,126319,accepted,[],,[],Stout sawpalate,[],fish,Species,Chordata,Teleostei,Anguilliformes,Serrivomeridae,0,6000,200,6000,"[""deep_sea"",""water_column""]",[],very_rare,0.15,"{""depth_min_m"":200,""depth_max_m"":6000,""habitat_tags"":[""deep_sea"",""water_column""],""ocean_regions"":[],""respawn_cooldown_s"":30}",swim,75,,https://www.marinespecies.org/aphia.php?p=taxdetails&id=126319,https://www.fishbase.se/summary/Serrivomer-beanii.html,観察深度の出典記録は0–6000m。,https://www.fishbase.se/summary/Serrivomer-beanii.html,https://www.fishbase.se/summary/Serrivomer-beanii.html,2026-08-12,verified,source_checked_date=2026-08-06 | depth_evidence=FishBase: bathypelagic; reported depth range 0-6000 m. | size_note=Maximum 78 cm TL reported in FishBase. | visual_note=Beak-like snout; brown-black to silvery elongate eel body. | image_rights=reference-only; rights verification required | spawn_depth_policy=observed-range intersection with 200-6000m | asset_status=reference-only; asset_id intentionally blank | synonyms=not asserted; only exact accepted WoRMS name was adopted | research_taxonomy_url_normalized=https://www.marinespecies.org/aphia.php?p=taxlist&tName=Serrivomer+beanii -> https://www.marinespecies.org/aphia.php?p=taxdetails&id=126319
F003,nemichthys-scolopaceus,Nemichthys scolopaceus,"Richardson, 1848",WoRMS,126306,accepted,[],,[],Slender snipe eel,[],fish,Species,Chordata,Teleostei,Anguilliformes,Nemichthyidae,0,4337,200,4337,"[""deep_sea"",""water_column""]",[],rare,0.35,"{""depth_min_m"":200,""depth_max_m"":4337,""habitat_tags"":[""deep_sea"",""water_column""],""ocean_regions"":[],""respawn_cooldown_s"":22}",swim,50,,https://www.marinespecies.org/aphia.php?p=taxdetails&id=126306,https://www.fishbase.se/summary/Nemichthys-scolopaceus.html,観察深度の出典記録は0–4337m。,https://www.fishbase.se/summary/Nemichthys-scolopaceus.html,https://www.fishbase.se/summary/Nemichthys-scolopaceus.html,2026-08-12,verified,source_checked_date=2026-08-06 | depth_evidence=FishBase: bathypelagic; reported depth range 0-4337 m. | size_note=Maximum 130 cm TL reported in FishBase. | visual_note=Long bill-like jaws; narrow body ending in long filament; dark brown-gray. | image_rights=reference-only; rights verification required | spawn_depth_policy=observed-range intersection with 200-6000m | asset_status=reference-only; asset_id intentionally blank | synonyms=not asserted; only exact accepted WoRMS name was adopted | research_taxonomy_url_normalized=https://www.marinespecies.org/aphia.php?p=taxlist&tName=Nemichthys+scolopaceus -> https://www.marinespecies.org/aphia.php?p=taxdetails&id=126306
F004,synaphobranchus-kaupii,Synaphobranchus kaupii,"Johnson, 1862",WoRMS,126328,accepted,[],,[],Kaup's arrowtooth eel,[],fish,Species,Chordata,Teleostei,Anguilliformes,Synaphobranchidae,120,4800,200,4800,"[""deep_sea"",""seafloor""]",[],rare,0.35,"{""depth_min_m"":200,""depth_max_m"":4800,""habitat_tags"":[""deep_sea"",""seafloor""],""ocean_regions"":[],""respawn_cooldown_s"":22}",swim,50,,https://www.marinespecies.org/aphia.php?p=taxdetails&id=126328,https://www.fishbase.se/summary/Synaphobranchus-kaupii.html,観察深度の出典記録は120–4800m。,https://www.fishbase.se/summary/Synaphobranchus-kaupii.html,https://www.fishbase.se/summary/Synaphobranchus-kaupii.html,2026-08-12,verified,source_checked_date=2026-08-06 | depth_evidence=FishBase: bathydemersal; reported depth range 120-4800 m. | size_note=Maximum length reported in FishBase; see source page. | visual_note=Elongate eel-like body; arrow-tooth mouth; use real reference page for fin pattern. | image_rights=reference-only; rights verification required | spawn_depth_policy=observed-range intersection with 200-6000m | asset_status=reference-only; asset_id intentionally blank | synonyms=not asserted; only exact accepted WoRMS name was adopted | research_taxonomy_url_normalized=https://www.marinespecies.org/aphia.php?p=taxlist&tName=Synaphobranchus+kaupii -> https://www.marinespecies.org/aphia.php?p=taxdetails&id=126328
F005,simenchelys-parasitica,Simenchelys parasitica,"Gill, 1879",WoRMS,126327,accepted,[],,[],Snubnosed eel,[],fish,Species,Chordata,Teleostei,Anguilliformes,Synaphobranchidae,100,3000,200,3000,"[""deep_sea"",""seafloor""]",[],uncommon,0.65,"{""depth_min_m"":200,""depth_max_m"":3000,""habitat_tags"":[""deep_sea"",""seafloor""],""ocean_regions"":[],""respawn_cooldown_s"":16}",swim,25,,https://www.marinespecies.org/aphia.php?p=taxdetails&id=126327,https://www.fishbase.se/summary/Simenchelys-parasitica.html,観察深度の出典記録は100–3000m。,https://www.fishbase.se/summary/Simenchelys-parasitica.html,https://www.fishbase.se/summary/Simenchelys-parasitica.html,2026-08-12,verified,source_checked_date=2026-08-06 | depth_evidence=FishBase: bathydemersal; reported depth range 100-3000 m. | size_note=Maximum 61 cm TL reported in FishBase. | visual_note=Thick blunt cylindrical head; small slit-like mouth with plicate lips; gray-brown eel body. | image_rights=reference-only; rights verification required | spawn_depth_policy=observed-range intersection with 200-6000m | asset_status=reference-only; asset_id intentionally blank | synonyms=not asserted; only exact accepted WoRMS name was adopted | research_taxonomy_url_normalized=https://www.marinespecies.org/aphia.php?p=taxlist&tName=Simenchelys+parasitica -> https://www.marinespecies.org/aphia.php?p=taxdetails&id=126327
F006,notacanthus-chemnitzii,Notacanthus chemnitzii,"Bloch, 1788",WoRMS,126643,accepted,[],,[],Snubnosed spiny eel,[],fish,Species,Chordata,Teleostei,Notacanthiformes,Notacanthidae,125,3285,200,3285,"[""deep_sea"",""water_column""]",[],uncommon,0.65,"{""depth_min_m"":200,""depth_max_m"":3285,""habitat_tags"":[""deep_sea"",""water_column""],""ocean_regions"":[],""respawn_cooldown_s"":16}",swim,25,,https://www.marinespecies.org/aphia.php?p=taxdetails&id=126643,https://www.fishbase.se/summary/Notacanthus-chemnitzii.html,観察深度の出典記録は125–3285m。,https://www.fishbase.se/summary/Notacanthus-chemnitzii.html,https://www.fishbase.se/summary/Notacanthus-chemnitzii.html,2026-08-12,verified,source_checked_date=2026-08-06 | depth_evidence=FishBase: benthopelagic; reported depth range 125-3285 m. | size_note=Maximum 120 cm TL reported in FishBase. | visual_note=Long eel-like body with dorsal spines; snub nose; real reference page controls markings. | image_rights=reference-only; rights verification required | spawn_depth_policy=observed-range intersection with 200-6000m | asset_status=reference-only; asset_id intentionally blank | synonyms=not asserted; only exact accepted WoRMS name was adopted | research_taxonomy_url_normalized=https://www.marinespecies.org/aphia.php?p=taxlist&tName=Notacanthus+chemnitzii -> https://www.marinespecies.org/aphia.php?p=taxdetails&id=126643
F007,chiasmodon-niger,Chiasmodon niger,"Johnson, 1864",WoRMS,126840,accepted,[],,[],Black swallower,[],fish,Species,Chordata,Teleostei,Scombriformes,Chiasmodontidae,700,2745,700,2745,"[""deep_sea"",""water_column""]",[],uncommon,0.65,"{""depth_min_m"":700,""depth_max_m"":2745,""habitat_tags"":[""deep_sea"",""water_column""],""ocean_regions"":[],""respawn_cooldown_s"":16}",swim,25,,https://www.marinespecies.org/aphia.php?p=taxdetails&id=126840,https://www.fishbase.se/summary/Chiasmodon-niger.html,観察深度の出典記録は700–2745m。,https://www.fishbase.se/summary/Chiasmodon-niger.html,https://www.fishbase.se/summary/Chiasmodon-niger.html,2026-08-12,verified,source_checked_date=2026-08-06 | depth_evidence=FishBase: pelagic-oceanic; reported depth range 700-2745 m. | size_note=Maximum 25 cm SL reported in FishBase. | visual_note=Black body; oversized distensible stomach profile after prey capture; large mouth. | image_rights=reference-only; rights verification required | spawn_depth_policy=observed-range intersection with 200-6000m | asset_status=reference-only; asset_id intentionally blank | synonyms=not asserted; only exact accepted WoRMS name was adopted | research_taxonomy_url_normalized=https://www.marinespecies.org/aphia.php?p=taxlist&tName=Chiasmodon+niger -> https://www.marinespecies.org/aphia.php?p=taxdetails&id=126840
F008,alepisaurus-ferox,Alepisaurus ferox,"Lowe, 1833",WoRMS,126333,accepted,[],ミズウオ,[],Long snouted lancetfish,[],fish,Species,Chordata,Teleostei,Aulopiformes,Alepisauridae,0,1830,200,1830,"[""deep_sea"",""water_column""]",[],common,1,"{""depth_min_m"":200,""depth_max_m"":1830,""habitat_tags"":[""deep_sea"",""water_column""],""ocean_regions"":[],""respawn_cooldown_s"":12}",swim,10,,https://www.marinespecies.org/aphia.php?p=taxdetails&id=126333,https://www.fishbase.se/summary/Alepisaurus-ferox.html,観察深度の出典記録は0–1830m。,https://www.fishbase.se/summary/Alepisaurus-ferox.html,https://www.fishbase.se/summary/Alepisaurus-ferox.html,2026-08-12,verified,source_checked_date=2026-08-06 | depth_evidence=FishBase: bathypelagic; reported depth range 0-1830 m. | size_note=Maximum 215 cm TL reported in FishBase. | visual_note=Very long scaleless body; tall sail-like dorsal fin; long snout. | image_rights=reference-only; rights verification required | spawn_depth_policy=observed-range intersection with 200-6000m | asset_status=reference-only; asset_id intentionally blank | synonyms=not asserted; only exact accepted WoRMS name was adopted | research_taxonomy_url_normalized=https://www.marinespecies.org/aphia.php?p=taxlist&tName=Alepisaurus+ferox -> https://www.marinespecies.org/aphia.php?p=taxdetails&id=126333
F009,omosudis-lowii,Omosudis lowii,"Günther, 1887",WoRMS,272087,accepted,[],,[],Omosudid,[],fish,Species,Chordata,Teleostei,Aulopiformes,Omosudidae,0,4000,200,4000,"[""deep_sea"",""water_column""]",[],rare,0.35,"{""depth_min_m"":200,""depth_max_m"":4000,""habitat_tags"":[""deep_sea"",""water_column""],""ocean_regions"":[],""respawn_cooldown_s"":22}",swim,50,,https://www.marinespecies.org/aphia.php?p=taxdetails&id=272087,https://www.fishbase.se/summary/Omosudis-lowii.html,観察深度の出典記録は0–4000m。,https://www.fishbase.se/summary/Omosudis-lowii.html,https://www.fishbase.se/summary/Omosudis-lowii.html,2026-08-12,verified,source_checked_date=2026-08-06 | depth_evidence=FishBase: bathypelagic; reported depth range 0-4000 m. | size_note=Maximum 23 cm SL reported in FishBase. | visual_note=Slender hammerjaw-like head profile; silvery sides with dark peritoneum visible. | image_rights=reference-only; rights verification required | spawn_depth_policy=observed-range intersection with 200-6000m | asset_status=reference-only; asset_id intentionally blank | synonyms=not asserted; only exact accepted WoRMS name was adopted | research_taxonomy_url_normalized=https://www.marinespecies.org/aphia.php?p=taxlist&tName=Omosudis+lowii -> https://www.marinespecies.org/aphia.php?p=taxdetails&id=272087
F010,bathysaurus-mollis,Bathysaurus mollis,"Günther, 1878",WoRMS,126370,accepted,[],,[],Highfin lizardfish,[],fish,Species,Chordata,Teleostei,Aulopiformes,Bathysauridae,1550,4903,1550,4903,"[""deep_sea"",""seafloor""]",[],rare,0.35,"{""depth_min_m"":1550,""depth_max_m"":4903,""habitat_tags"":[""deep_sea"",""seafloor""],""ocean_regions"":[],""respawn_cooldown_s"":22}",swim,50,,https://www.marinespecies.org/aphia.php?p=taxdetails&id=126370,https://www.fishbase.se/summary/Bathysaurus-mollis.html,観察深度の出典記録は1550–4903m。,https://www.fishbase.se/summary/Bathysaurus-mollis.html,https://www.fishbase.se/summary/Bathysaurus-mollis.html,2026-08-12,verified,source_checked_date=2026-08-06 | depth_evidence=FishBase: bathydemersal; reported depth range 1550-4903 m. | size_note=Maximum 78 cm SL reported in FishBase. | visual_note=Moderately elongate pale lizardfish; high dorsal fin; dark mouth and gill regions. | image_rights=reference-only; rights verification required | spawn_depth_policy=observed-range intersection with 200-6000m | asset_status=reference-only; asset_id intentionally blank | synonyms=not asserted; only exact accepted WoRMS name was adopted | research_taxonomy_url_normalized=https://www.marinespecies.org/aphia.php?p=taxlist&tName=Bathysaurus+mollis -> https://www.marinespecies.org/aphia.php?p=taxdetails&id=126370
F011,evermannella-balbo,Evermannella balbo,"(Risso, 1820)",WoRMS,126338,accepted,[],,[],Balbo sabretooth,[],fish,Species,Chordata,Teleostei,Aulopiformes,Evermannellidae,100,1000,200,1000,"[""deep_sea"",""water_column""]",[],common,1,"{""depth_min_m"":200,""depth_max_m"":1000,""habitat_tags"":[""deep_sea"",""water_column""],""ocean_regions"":[],""respawn_cooldown_s"":12}",swim,10,,https://www.marinespecies.org/aphia.php?p=taxdetails&id=126338,https://www.fishbase.se/summary/Evermannella-balbo.html,観察深度の出典記録は100–1000m。,https://www.fishbase.se/summary/Evermannella-balbo.html,https://www.fishbase.se/summary/Evermannella-balbo.html,2026-08-12,verified,source_checked_date=2026-08-06 | depth_evidence=FishBase: bathypelagic; reported depth range 100-1000 m. | size_note=Maximum 16.9 cm SL reported in FishBase. | visual_note=Elongate sabretooth profile; brown body with dense melanophores. | image_rights=reference-only; rights verification required | spawn_depth_policy=observed-range intersection with 200-6000m | asset_status=reference-only; asset_id intentionally blank | synonyms=not asserted; only exact accepted WoRMS name was adopted | research_taxonomy_url_normalized=https://www.marinespecies.org/aphia.php?p=taxlist&tName=Evermannella+balbo -> https://www.marinespecies.org/aphia.php?p=taxdetails&id=126338
