source_catalog_id,display_name_ja,name_status
F001,フクロウナギ,established
F002,ノコギリ口ウナギ,localized
F003,シギウナギ,established
F004,イラコアナゴ,established
F005,コンゴウアナゴ,established
F006,クロソコギス,established
F007,オニボウズギス,established
F008,ミズウオ,established
F009,キバハダカ,established
F010,シンカイエソ,established
F011,サーベルキバウオ,localized
F012,オオイトヒキイワシ,established
F013,オニキンメ,established
F014,ホウライエソ,established
F015,オオクチホシエソ,established
F016,クロリュウウオ,localized
F017,ギザ歯ウオ,localized
F018,オオヨコエソ,established
F019,小口アゴウオ,localized
F020,ウスオニハダカ,established
F021,トガリムネエソ,established
F022,キュウリエソ,established
F023,宝石ヒカリウオ,localized
F024,斑点ヒカリウオ,localized
F025,ナンキョクダルマハダカ,established
F026,デメニギス,established
F027,茶鼻幽霊ウオ,localized
F028,樽目ウオ,localized
F029,アカクジラウオダマシ,established
F030,アカチョッキクジラウオ,established
F031,ヨロイダラ,established
F032,丸鼻ネズミウオ,localized
F033,イバラヒゲ,established
F034,ざら頭ネズミウオ,localized
F035,トガリカナダダラ,established
F036,灰色モラウオ,localized
F037,オレンジラフィー,established
F038,キンメダイ,established
F039,黒太刀ウオ,localized
F040,ニュウドウカジカ,established
F041,ペリカンアンコウ,established
F042,チョウチンアンコウ,established
F043,枝飾りアンコウ,localized
F044,ビワアンコウ,established
F045,ウサギギンザメ,localized
F046,斑点ネズミギンザメ,localized
F047,ヨミノツカイ,established
F048,腹光カラスザメ,localized
F049,こびとヒカリザメ,localized
F050,黒ひかりトゲザメ,localized
F051,マルバラユメザメ,established
F052,ニシオンデンザメ,established
F053,ラブカ,established
F054,ミツクリザメ,established
F055,チヒロザメ,established
F056,カグラザメ,established
F057,ミツボシカスベ,established
I001,ムラサキカムリクラゲ,established
I002,レイノルズアトラクラゲ,localized
I003,クロカムリクラゲ,established
I004,ダイオウクラゲ,established
I005,ユビアシクラゲ,established
I006,バチコルス深海クラゲ,localized
I007,サイケデリッククラゲ,localized
I008,マーシ光輪クラゲ,localized
I009,ニジクラゲ,established
I010,チョウクラゲモドキ,established
I011,アカカブトクラゲ,established
I012,タラッサカリュケクシクラゲ,localized
I013,ウサギクラゲ,established
I014,バチクテナクシクラゲ,localized
I015,チャロン巨大オタマボヤ,localized
I016,ヒノオビクラゲ,established
I017,リシャールクダクラゲ,localized
I018,トガリクダクラゲ,localized
I019,マヨイアイオイクラゲ,established
I020,青尾巨大オタマボヤ,localized
I021,ダイオウイカ,established
I022,ダイオウホウズキイカ,established
I023,大ひれイカ,localized
I024,コウモリダコ,established
I025,アメリカゴマフイカ,established
I026,カリフォルニアシラタマイカ,established
I027,ヒロビレイカ,established
I028,クジャクイカ,established
I029,キタノスカシイカ,established
I030,テカギイカ,established
I031,ツクシユウレイイカ,established
I032,ナツメイカ,established
I033,オナガイカ,established
I034,ホノオムチイカ,established
I035,キタノヤツデイカ,established
I036,ダイオウホタルイカモドキ,established
I037,北太平洋いぼダコ,localized
I038,いぼ肌ダコ,localized
I039,耳ひれダコ,localized
I040,皇帝耳ひれダコ,localized
I041,探海耳ひれダコ,localized
I042,長ひげ浮きダコ,localized
I043,ヒゲナガダコ,established
I044,ひらひら円盤ダコ,localized
I045,星明かりダコ,localized
I046,熱水口ダコ,localized
I047,がっしりダコ,localized
I048,なめ肌ダコ,localized
I049,ナツメダコ,established
I050,スカシダコ,established
I051,丸耳ダコ,localized
I052,南極いぼダコ,localized
I053,太平洋イバラガニ,localized
I054,グリマルディイバラガニ,localized
I055,エゾイバラガニ,established
I056,ビルスタインイバラガニ,localized
I057,大西洋アカヘリガニ,localized
I058,コガネヘリガニ,localized
I059,ミツトゲヘリガニ,localized
I060,キルトマイアクモガニ,localized
I061,オオアシクモガニ,localized
I062,ホソアシクモガニ,localized
I063,タイラーケブカガニ,localized
I064,イエティケブカガニ,localized
I065,ガラパゴスユノハナガニ,established
I066,大西洋熱水ガニ,localized
I067,カイカムリガニ,localized
I068,アビシスヒメガニ,localized
I069,ツノナシオハラエビ,established
I070,アルビノカリス熱水エビ,localized
I071,ミロカリス熱水エビ,localized
I072,ムラサキガラスエビ,localized
I073,オキヒオドシエビ,established
I074,コブツノエビ,localized
I075,コガネナガエビ,localized
I076,ヒメノペナエウスエビ,localized
I077,ジェナダス深海エビ,localized
I078,ヤリヒゲエビ,localized
I079,デバスピス深海エビ,localized
I080,チェイス熱水エビ,localized
I081,バートレット深海エビ,localized
I082,ロブストセルギア深海エビ,localized
I083,パシファエガラスエビ,localized
I084,クシノハイトアシエビ,established
I085,ガラパゴスシンカイヒバリガイ,established
I086,ガラパゴスハオリムシ,established
I087,メキシコハオリムシ,established
I088,エスカルピアハオリムシ,localized
I089,ユメナマコ,established
I090,エボシナマコ,established
I091,センジュナマコ,established
I092,カイロウドウケツ,established
