source_catalog_id,display_name_ja,name_status
I021,ダイオウイカ,established
I022,ダイオウホウズキイカ,established
I023,大ひれイカ,localized
I024,コウモリダコ,established
I025,アメリカゴマフイカ,established
I026,カリフォルニアシラタマイカ,established
I027,ヒロビレイカ,established
I028,クジャクイカ,established
I029,キタノスカシイカ,established
I030,テカギイカ,established
I031,ツクシユウレイイカ,established
I032,ナツメイカ,established
I033,オナガイカ,established
I034,ホノオムチイカ,established
I035,キタノヤツデイカ,established
I036,ダイオウホタルイカモドキ,established
I037,北太平洋いぼダコ,localized
I038,いぼ肌ダコ,localized
I039,耳ひれダコ,localized
I040,皇帝耳ひれダコ,localized
I041,探海耳ひれダコ,localized
I042,長ひげ浮きダコ,localized
I043,ヒゲナガダコ,established
I044,ひらひら円盤ダコ,localized
I045,星明かりダコ,localized
I046,熱水口ダコ,localized
I047,がっしりダコ,localized
I048,なめ肌ダコ,localized
I049,ナツメダコ,established
I050,スカシダコ,established
I051,丸耳ダコ,localized
I052,南極いぼダコ,localized
