source_catalog_id,display_name_ja,name_status
F001,フクロウナギ,established
F002,ノコギリ口ウナギ,localized
F003,シギウナギ,established
F004,イラコアナゴ,established
F005,コンゴウアナゴ,established
F006,クロソコギス,established
F007,オニボウズギス,established
F008,ミズウオ,established
F009,キバハダカ,established
F010,シンカイエソ,established
F011,サーベルキバウオ,localized
F012,オオイトヒキイワシ,established
F013,オニキンメ,established
F014,ホウライエソ,established
F015,オオクチホシエソ,established
F016,クロリュウウオ,localized
F017,ギザ歯ウオ,localized
F018,オオヨコエソ,established
F019,小口アゴウオ,localized
F020,ウスオニハダカ,established
F021,トガリムネエソ,established
F022,キュウリエソ,established
F023,宝石ヒカリウオ,localized
F024,斑点ヒカリウオ,localized
F025,ナンキョクダルマハダカ,established
F026,デメニギス,established
F027,茶鼻幽霊ウオ,localized
F028,樽目ウオ,localized
F029,アカクジラウオダマシ,established
F030,アカチョッキクジラウオ,established
F031,ヨロイダラ,established
F032,丸鼻ネズミウオ,localized
F033,イバラヒゲ,established
F034,ざら頭ネズミウオ,localized
F035,トガリカナダダラ,established
F036,灰色モラウオ,localized
F037,オレンジラフィー,established
F038,キンメダイ,established
F039,黒太刀ウオ,localized
F040,ニュウドウカジカ,established
F041,ペリカンアンコウ,established
F042,チョウチンアンコウ,established
F043,枝飾りアンコウ,localized
F044,ビワアンコウ,established
F045,ウサギギンザメ,localized
F046,斑点ネズミギンザメ,localized
F047,ヨミノツカイ,established
F048,腹光カラスザメ,localized
F049,こびとヒカリザメ,localized
F050,黒ひかりトゲザメ,localized
F051,マルバラユメザメ,established
F052,ニシオンデンザメ,established
F053,ラブカ,established
F054,ミツクリザメ,established
F055,チヒロザメ,established
F056,カグラザメ,established
F057,ミツボシカスベ,established
