source_catalog_id,display_name_ja,name_status
I001,ムラサキカムリクラゲ,established
I002,レイノルズアトラクラゲ,localized
I003,クロカムリクラゲ,established
I004,ダイオウクラゲ,established
I005,ユビアシクラゲ,established
I006,バチコルス深海クラゲ,localized
I007,サイケデリッククラゲ,localized
I008,マーシ光輪クラゲ,localized
I009,ニジクラゲ,established
I010,チョウクラゲモドキ,established
I011,アカカブトクラゲ,established
I012,タラッサカリュケクシクラゲ,localized
I013,ウサギクラゲ,established
I014,バチクテナクシクラゲ,localized
I015,チャロン巨大オタマボヤ,localized
I016,ヒノオビクラゲ,established
I017,リシャールクダクラゲ,localized
I018,トガリクダクラゲ,localized
I019,マヨイアイオイクラゲ,established
I020,青尾巨大オタマボヤ,localized
I053,太平洋イバラガニ,localized
I054,グリマルディイバラガニ,localized
I055,エゾイバラガニ,established
I056,ビルスタインイバラガニ,localized
I057,大西洋アカヘリガニ,localized
I058,コガネヘリガニ,localized
I059,ミツトゲヘリガニ,localized
I060,キルトマイアクモガニ,localized
I061,オオアシクモガニ,localized
I062,ホソアシクモガニ,localized
I063,タイラーケブカガニ,localized
I064,イエティケブカガニ,localized
I065,ガラパゴスユノハナガニ,established
I066,大西洋熱水ガニ,localized
I067,カイカムリガニ,localized
I068,アビシスヒメガニ,localized
I069,ツノナシオハラエビ,established
I070,アルビノカリス熱水エビ,localized
I071,ミロカリス熱水エビ,localized
I072,ムラサキガラスエビ,localized
I073,オキヒオドシエビ,established
I074,コブツノエビ,localized
I075,コガネナガエビ,localized
I076,ヒメノペナエウスエビ,localized
I077,ジェナダス深海エビ,localized
I078,ヤリヒゲエビ,localized
I079,デバスピス深海エビ,localized
I080,チェイス熱水エビ,localized
I081,バートレット深海エビ,localized
I082,ロブストセルギア深海エビ,localized
I083,パシファエガラスエビ,localized
I084,クシノハイトアシエビ,established
I085,ガラパゴスシンカイヒバリガイ,established
I086,ガラパゴスハオリムシ,established
I087,メキシコハオリムシ,established
I088,エスカルピアハオリムシ,localized
I089,ユメナマコ,established
I090,エボシナマコ,established
I091,センジュナマコ,established
I092,カイロウドウケツ,established
