source_catalog_id,accepted_scientific_name,preferred_ja_name,source_url
F001,Eurypharynx pelecanoides,フクロウナギ,https://www.marinespecies.org/aphia.php?id=127165&p=taxdetails
F003,Nemichthys scolopaceus,シギウナギ,https://minna-museum.jp/data/493
F004,Synaphobranchus kaupii,イラコアナゴ,https://www.godac.jamstec.go.jp/bismal/j/view/9000679
F005,Simenchelys parasitica,コンゴウアナゴ,https://churaumi.okinawa/sp/fishbook/1765249828/
F006,Notacanthus chemnitzii,クロソコギス,https://minna-museum.jp/data/1754
F007,Chiasmodon niger,オニボウズギス,https://minna-museum.jp/data/406
F008,Alepisaurus ferox,ミズウオ,https://www.godac.jamstec.go.jp/bismal/j/view/9002239
F009,Omosudis lowii,キバハダカ,https://www.cc.miyazaki-u.ac.jp/yuk/research/onegai20080201.html
F010,Bathysaurus mollis,シンカイエソ,https://www.kochi-u.ac.jp/w3museum/Fish_Labo/FishCatalog/Fishlist/Aulopi.html
F012,Bathypterois grallator,オオイトヒキイワシ,https://www.godac.jamstec.go.jp/bismal/j/view/9000347
F013,Anoplogaster cornuta,オニキンメ,https://minna-museum.jp/data/961
F014,Chauliodus sloani,ホウライエソ,https://www.godac.jamstec.go.jp/bismal/j/view/9000513
F015,Malacosteus niger,オオクチホシエソ,https://www.kochi-u.ac.jp/w3museum/Fish_Labo/Member/Endoh/animal_taxonomy/2018animaltaxonomy_PDF/20180517_Malacosteus_niger.pdf
F018,Sigmops elongatus,オオヨコエソ,https://www.museum.kagoshima-u.ac.jp/staff/motomura/2020_05_JAFList.pdf
F020,Cyclothone pallida,ウスオニハダカ,https://www.godac.jamstec.go.jp/bismal/j/view/9000529
F021,Argyropelecus aculeatus,トガリムネエソ,https://www.ifarc.metro.tokyo.lg.jp/archive/27%2C15184%2C55%2C228.html
F022,Maurolicus muelleri,キュウリエソ,https://www.chiba-muse.or.jp/NATURAL/publication/journal_13-1_2kawase.pdf
F025,Electrona antarctica,ナンキョクダルマハダカ,https://eprints.lib.hokudai.ac.jp/repo/huscap/all/70327/12_Lowtemsci76_P71-93.pdf
F026,Macropinna microstoma,デメニギス,https://minna-museum.jp/data/393
F029,Barbourisia rufa,アカクジラウオダマシ,https://www.godac.jamstec.go.jp/bismal/j/view/9002978
F030,Rondeletia loricata,アカチョッキクジラウオ,https://umdb.um.u-tokyo.ac.jp/DImages/Doubutsu/IFish/Material_Reports_PDF/pdf132/pdf132_213-251.pdf
F031,Coryphaenoides armatus,ヨロイダラ,https://www.kahaku.go.jp/albums/abm.php?d=4913&f=abm00004078.pdf&n=p683-735.pdf
F033,Coryphaenoides acrolepis,イバラヒゲ,https://minna-museum.jp/data/1805
F035,Antimora rostrata,トガリカナダダラ,https://www.jstage.jst.go.jp/article/ichthy/31/0/31_39/_pdf/-char/ja
F037,Hoplostethus atlanticus,オレンジラフィー,https://www.fra.go.jp/jamarc/archive/jyoho/hakusei/roughy/roughy.htm
F038,Beryx splendens,キンメダイ,https://www.godac.jamstec.go.jp/bismal/j/view/9000493
F040,Psychrolutes phrictus,ニュウドウカジカ,https://minna-museum.jp/data/974
F041,Melanocetus johnsonii,ペリカンアンコウ,https://www.godac.jamstec.go.jp/bismal/j/view/9005269
F042,Himantolophus groenlandicus,チョウチンアンコウ,https://www.icrc.aori.u-tokyo.ac.jp/archipelago_Chochinanko.html
F044,Ceratias holboelli,ビワアンコウ,https://minna-museum.jp/data/391
F047,Harriotta raleighana,ヨミノツカイ,https://www.fish-isj.jp/html/publication/research_j/IR67-1.pdf
F051,Centroscymnus coelolepis,マルバラユメザメ,https://nh.kanagawa-museum.jp/uploads/nhr47_55-63_Katooka.pdf
F052,Somniosus microcephalus,ニシオンデンザメ,https://nh.kanagawa-museum.jp/uploads/CCKPMNH_12.pdf
F053,Chlamydoselachus anguineus,ラブカ,https://www.godac.jamstec.go.jp/bismal/j/view/9000392
F054,Mitsukurina owstoni,ミツクリザメ,https://www.godac.jamstec.go.jp/bismal/j/view/9001147
F055,Pseudotriakis microdon,チヒロザメ,https://www.ifarc.metro.tokyo.lg.jp/archive/27%2C14953%2C55%2C228.html
F056,Hexanchus griseus,カグラザメ,https://www.kmnh.jp/exhibition/Diversity3/D3-F021_Hexanchus.html
F057,Amblyraja hyperborea,ミツボシカスベ,https://ir.kagoshima-u.ac.jp/record/2000728/files/BB30640363.pdf
