source_catalog_id,accepted_scientific_name,preferred_ja_name,source_url
I001,Atolla wyvillei,ムラサキカムリクラゲ,https://www.godac.jamstec.go.jp/bismal/j/view/9000292
I003,Periphylla periphylla,クロカムリクラゲ,https://www.godac.jamstec.go.jp/bismal/j/view/0001215
I004,Stygiomedusa gigantea,ダイオウクラゲ,https://www.godac.jamstec.go.jp/bismal/j/view/9037323
I005,Tiburonia granrojo,ユビアシクラゲ,https://www.godac.jamstec.go.jp/bismal/j/view/9000301
I009,Colobonema sericeum,ニジクラゲ,https://www.godac.jamstec.go.jp/bismal/j/view/0001184
I010,Bathocyroe fosteri,チョウクラゲモドキ,https://www.godac.jamstec.go.jp/bismal/j/view/9000304
I011,Lampocteis cruentiventer,アカカブトクラゲ,https://www.godac.jamstec.go.jp/bismal/j/view/9000307
I013,Kiyohimea usagi,ウサギクラゲ,https://www.godac.jamstec.go.jp/bismal/j/view/9000306
I016,Marrus orthocanna,ヒノオビクラゲ,https://www.godac.jamstec.go.jp/bismal/j/view/9000448
I019,Praya dubia,マヨイアイオイクラゲ,https://www.godac.jamstec.go.jp/bismal/j/view/9000445
I021,Architeuthis dux,ダイオウイカ,https://www.zen-ika.com/zukan/pdf/cs355.pdf
I022,Mesonychoteuthis hamiltoni,ダイオウホウズキイカ,https://www.godac.jamstec.go.jp/bismal/j/view/9050795
I024,Vampyroteuthis infernalis,コウモリダコ,https://www.godac.jamstec.go.jp/bismal/j/view/9000321
I025,Histioteuthis reversa,アメリカゴマフイカ,https://www.zen-ika.com/zukan/pdf/cs336.pdf
I026,Histioteuthis heteropsis,カリフォルニアシラタマイカ,https://www.zen-ika.com/zukan/pdf/cs335.pdf
I027,Taningia danae,ヒロビレイカ,https://www.zen-ika.com/zukan/pdf/cs322.pdf
I028,Taonius pavo,クジャクイカ,https://www.zen-ika.com/zukan/pdf/cs423.pdf
I029,Galiteuthis phyllura,キタノスカシイカ,https://www.zen-ika.com/zukan/pdf/cs427.pdf
I030,Gonatus onyx,テカギイカ,https://www.zen-ika.com/zukan/pdf/cs300.pdf
I031,Chiroteuthis calyx,ツクシユウレイイカ,https://www.zen-ika.com/zukan/pdf/cs389.pdf
I032,Bathyteuthis abyssicola,ナツメイカ,https://www.zen-ika.com/zukan/pdf/cs348.pdf
I033,Joubiniteuthis portieri,オナガイカ,https://www.zen-ika.com/zukan/pdf/cs411.pdf
I034,Mastigoteuthis flammea,ホノオムチイカ,https://www.zen-ika.com/zukan/pdf/cs403.pdf
I035,Octopoteuthis deletron,キタノヤツデイカ,https://www.zen-ika.com/zukan/pdf/cs319.pdf
I036,Ancistrocheirus lesueurii,ダイオウホタルイカモドキ,https://www.zen-ika.com/zukan/pdf/cs232.pdf
I043,Cirrothauma murrayi,ヒゲナガダコ,https://www.godac.jamstec.go.jp/bismal/j/view/0001278
I049,Japetella diaphana,ナツメダコ,https://www.kahaku.go.jp/research/db/zoology/Beak-v1-3/Sp-sheets/Japet-diapha/Japet-diapha.htm
I050,Vitreledonella richardi,スカシダコ,https://www.godac.jamstec.go.jp/bismal/j/view/9000955
I055,Paralomis multispina,エゾイバラガニ,https://www.godac.jamstec.go.jp/bismal/j/view/9000066
I065,Bythograea thermydron,ガラパゴスユノハナガニ,https://www.godac.jamstec.go.jp/bismal/j/view/0001357
I069,Rimicaris exoculata,ツノナシオハラエビ,https://www.godac.jamstec.go.jp/bismal/j/view/9000171
I073,Oplophorus spinosus,オキヒオドシエビ,https://www.godac.jamstec.go.jp/bismal/j/view/9003164
I084,Nematocarcinus gracilis,クシノハイトアシエビ,https://www.godac.jamstec.go.jp/bismal/j/view/9003170
I085,Bathymodiolus thermophilus,ガラパゴスシンカイヒバリガイ,https://www.godac.jamstec.go.jp/bismal/j/view/9000124
I086,Riftia pachyptila,ガラパゴスハオリムシ,https://www.godac.jamstec.go.jp/bismal/j/view/9000140
I087,Lamellibrachia luymesi,メキシコハオリムシ,https://www.godac.jamstec.go.jp/bismal/j/view/9000590
I089,Enypniastes eximia,ユメナマコ,https://www.godac.jamstec.go.jp/bismal/j/view/9000271
I090,Psychropotes longicauda,エボシナマコ,https://www.godac.jamstec.go.jp/bismal/j/view/9000263
I091,Scotoplanes globosa,センジュナマコ,https://www.godac.jamstec.go.jp/bismal/j/view/9000270
I092,Euplectella aspergillum,カイロウドウケツ,https://umdb.um.u-tokyo.ac.jp/DDoubutu/invertebrate/porifera/specimens/PorfH-117_.html
