catalog_id,japanese_name,english_name,scientific_name,taxon_group,min_depth_m,max_depth_m,depth_evidence_note,size_note,gameplay_visual_note,primary_source_url,taxonomy_source_url,image_reference_url,image_rights_note,source_checked_date
I001,,Atolla jelly,Atolla wyvillei,jelly_ctenophore_plankton,0,5203,OBIS returned-record depth envelope; 0 m can be tow interval,bell about 8 cm,coronate bell with radial lappets and one enlarged tentacle,https://api.obis.org/v3/occurrence?taxonid=135282&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=135282,https://www.marinespecies.org/DeepSea/aphia.php?p=image&pic=32024&tid=135282,reference-only; rights verification required,2026-08-06
I002,,Reynolds' deep-sea crown jelly,Atolla reynoldsi,jelly_ctenophore_plankton,1133,5832,OBIS returned-record depth envelope from 5 records,bell diameter 8.5 cm in type-image caption,spiny lappet margins with coiled tentacles,https://api.obis.org/v3/occurrence?taxonid=1568662&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1568662,https://www.marinespecies.org/photogallery.php?album=676&pic=160313,reference-only; rights verification required,2026-08-06
I003,,Helmet jelly,Periphylla periphylla,jelly_ctenophore_plankton,0,4332,OBIS returned-record depth envelope; 0 m can be tow interval,bell commonly 10 to 35 cm,dark red bell with twelve marginal tentacles,https://api.obis.org/v3/occurrence?taxonid=135294&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=135294,https://www.marinespecies.org/DeepSea/aphia.php?p=image&pic=38282&tid=135294,reference-only; rights verification required,2026-08-06
I004,,Giant phantom jelly,Stygiomedusa gigantea,jelly_ctenophore_plankton,0,6669,OBIS returned-record depth envelope; 0 m can be tow interval,bell to about 100 cm and oral arms to 10 m,large red bell with four broad ribbonlike oral arms,https://api.obis.org/v3/occurrence?taxonid=135311&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=135311,https://www.marinespecies.org/DeepSea/aphia.php?p=image&pic=186432&tid=135311,reference-only; rights verification required,2026-08-06
I005,,Big red jelly,Tiburonia granrojo,jelly_ctenophore_plankton,288,1093,OBIS returned-record depth envelope from 19 records,bell to about 75 cm,deep red bell with several thick oral arms rather than fine tentacles,https://api.obis.org/v3/occurrence?taxonid=291224&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=291224,https://www.marinespecies.org/DeepSea/aphia.php?p=image&pic=80792&tid=291224,reference-only; rights verification required,2026-08-06
I006,,Deep-sea jelly,Bathykorus bouilloni,jelly_ctenophore_plankton,765,10000,OBIS returned-record depth envelope from 51 records,bell about 5 cm,small dark red to orange medusa with a tall gelatinous bell,https://api.obis.org/v3/occurrence?taxonid=458859&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=458859,https://www.marinespecies.org/DeepSea/aphia.php?p=image&pic=64171&tid=458859,reference-only; rights verification required,2026-08-06
I007,,Psychedelic medusa,Crossota millsae,jelly_ctenophore_plankton,553,3952,OBIS returned-record depth envelope from 58 records,bell about 5 cm,transparent bell with vivid radial digestive structures and trailing tentacles,https://api.obis.org/v3/occurrence?taxonid=285347&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=285347,https://dsg.mbari.org/dsg/view/concept/Crossota%20millsae,reference-only; rights verification required,2026-08-06
I008,,Maas's jelly,Halitrephes maasi,jelly_ctenophore_plankton,0,5300,OBIS returned-record depth envelope; 0 m can be tow interval,bell about 5 to 10 cm,clear bell showing orange red radial canals,https://api.obis.org/v3/occurrence?taxonid=117622&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=117622,https://dsg.mbari.org/dsg/view/concept/Halitrephes%20maasi,reference-only; rights verification required,2026-08-06
I009,,Silky jelly,Colobonema sericeum,jelly_ctenophore_plankton,0,5600,OBIS returned-record depth envelope; 0 m can be tow interval,bell about 5 to 10 cm,delicate clear bell with many long fine tentacles,https://api.obis.org/v3/occurrence?taxonid=117854&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=117854,https://www.marinespecies.org/DeepSea/aphia.php?p=image&pic=120619&tid=117854,reference-only; rights verification required,2026-08-06
I010,,Lobate comb jelly,Bathocyroe fosteri,jelly_ctenophore_plankton,0,1469,OBIS returned-record depth envelope; 0 m can be tow interval,body to about 10 cm,paired oral lobes and iridescent comb rows,https://api.obis.org/v3/occurrence?taxonid=265828&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=265828,https://dsg.mbari.org/dsg/view/concept/Bathocyroe%20fosteri,reference-only; rights verification required,2026-08-06
I011,,Bloody-belly comb jelly,Lampocteis cruentiventer,jelly_ctenophore_plankton,0,4210,OBIS returned-record depth envelope; 0 m can be tow interval,body to about 10 cm,transparent lobate body with a conspicuous crimson gut,https://api.obis.org/v3/occurrence?taxonid=265955&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=265955,https://dsg.mbari.org/dsg/view/concept/Lampocteis%20cruentiventer,reference-only; rights verification required,2026-08-06
I012,,Thalassocalyce comb jelly,Thalassocalyce inconstans,jelly_ctenophore_plankton,0,785,OBIS returned-record depth envelope; 0 m can be tow interval,body about 10 cm,hemispherical transparent lobate body with comb rows,https://api.obis.org/v3/occurrence?taxonid=265827&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=265827,https://www.marinespecies.org/DeepSea/aphia.php?p=image&pic=38367&tid=265827,reference-only; rights verification required,2026-08-06
I013,,Usagi comb jelly,Kiyohimea usagi,jelly_ctenophore_plankton,288,800,OBIS returned-record depth envelope from 8 records,body about 10 cm,gelatinous lobes with bright orange internal gut,https://api.obis.org/v3/occurrence?taxonid=265954&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=265954,https://dsg.mbari.org/dsg/view/concept/Kiyohimea%20usagi,reference-only; rights verification required,2026-08-06
I014,,Bathyctena comb jelly,Bathyctena chuni,jelly_ctenophore_plankton,50,3398,OBIS returned-record depth envelope from 50 records,body about 5 cm,small transparent lobate comb jelly with visible comb rows,https://api.obis.org/v3/occurrence?taxonid=265844&size=1000,https://www.marinespecies.org/aphia.php?p=taxdetails&id=265844,https://dsg.mbari.org/dsg/view/concept/Bathyctena%20chuni,reference-only; rights verification required,2026-08-06
